base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
11997697908,1647068521,251529,13323097908,131837,20000000000,1325400000,1325400000
11997697908,1647068521,251529,12997697908,131837,22000000000,1000000000,1000000000
22342719389,1647432976,215887,23842719389,163754,28300652780,1500000000,1500000000
10104657633,1647067517,268235,12000000000,215415,12000000000,3000000000,1895342367
10104657633,1647067517,215887,12000000000,163754,12000000000,10000000000,1895342367
10104657633,1647067517,215887,12000000000,163754,12000000000,3000000000,1895342367
28879921710,1647105526,215887,30379921710,163754,34008085032,1500000000,1500000000
25403867548,1647098994,212374,26903867548,160305,29729179435,1500000000,1500000000
20388754539,1647101107,268206,21888754539,215386,26142783595,1500000000,1500000000
14898879623,1647070858,297616,16398879623,160153,17745574110,1500000000,1500000000
14898879623,1647070858,297616,16398879623,160153,17745574110,1500000000,1500000000
18623189456,1647123431,215887,20123189456,163754,30496840789,1500000000,1500000000
34944967489,1647390582,284897,36444967489,231850,46218650033,1500000000,1500000000
24839352760,1647407549,215887,26339352760,163754,31968530578,1500000000,1500000000
11812504882,1647069617,251553,13222504882,131861,40000000000,1410000000,1410000000
14419539721,1647079701,215887,15919539721,163754,19166458460,1500000000,1500000000
15309324875,1647078916,254127,16809324875,201495,17834808457,1500000000,1500000000
25075824958,1647424494,259902,26575824958,207196,31396201649,1500000000,1500000000
25075824958,1647424494,274204,28075824958,221291,30000000000,3000000000,3000000000
18025078363,1647102504,215887,19391386576,163754,20175656719,1366308213,1366308213
55711901279,1647395680,284892,57711901279,231845,73800723187,2000000000,2000000000
26632165318,1647115345,215887,28132165318,163754,38942979119,1500000000,1500000000
47400639071,1647472537,180000,48000000000,177812,48000000000,1410000000,599360929
11364273253,1647066703,230380,12864273253,173229,15265690213,1500000000,1500000000
21624103792,1647047090,212374,23124103792,155505,27238803205,1500000000,1500000000
11498640683,1647072170,215875,12998640683,163742,13480619790,1500000000,1500000000
68330764927,1647446773,215887,69830764927,163754,86630863872,1500000000,1500000000
19885027945,1647068281,212386,21385027945,155517,33204283853,1500000000,1500000000
14187076843,1647086377,259871,15687076843,207165,16418864492,1500000000,1500000000
21554275770,1647417608,215887,23054275770,163754,27455894409,1500000000,1500000000
36891032663,1647395538,276603,38391032663,223669,44259965773,1500000000,1500000000
33160505609,1647099937,284847,34660505609,231801,43006514998,1500000000,1500000000
43981118501,1647449342,215887,45481118501,163754,58388058692,1500000000,1500000000
20898471217,1647415885,215887,22398471217,163754,31670916323,1500000000,1500000000
25318721913,1647062228,215887,26818721913,163754,33653128603,1500000000,1500000000
25318721913,1647062228,212386,26818721913,155517,33653128603,1500000000,1500000000
26405240117,1647106727,256891,27905240117,204249,33778472018,1500000000,1500000000
18199484373,1647407707,215887,19609484373,163754,20324739629,1410000000,1410000000
48088249674,1647467932,215887,49588249674,163754,69597299513,1500000000,1500000000
11273477068,1647074284,284887,12773477068,231840,17173782938,1500000000,1500000000
13881772777,1647075212,284827,15381772777,231780,19641364495,1500000000,1500000000
12623323191,1647056009,215887,14123323191,163754,19896739103,1500000000,1500000000
13183771451,1647121535,210000,14683771451,207343,14772476069,1500000000,1500000000
26025771907,1647113032,284855,71049386266,231807,,,
21833131830,1647112846,276579,23333131830,223645,23720969029,1500000000,1500000000
47692505500,1647473107,212374,49192505500,155505,60682432967,1500000000,1500000000
51713234135,1647471541,259925,53213234135,207218,58967013940,1500000000,1500000000
15902266871,1647051838,212386,17402266871,35523,19462313670,1500000000,1500000000
17589190430,1647092592,274169,19089190430,221256,22364336232,1500000000,1500000000
17686659584,1647064710,259937,19186659584,207230,23606110483,1500000000,1500000000
31535326893,1647398087,259830,33035326893,207124,38547181099,1500000000,1500000000
37106614485,1647460205,284851,38106614485,231804,38210284214,1000000000,1000000000
27842824323,1647090750,212386,29000000000,160317,29000000000,1300000000,1157175677
13432505699,1647074756,212374,14932505699,155505,15551245597,1500000000,1500000000
19077759658,1647125624,215887,20577759658,163754,21377297058,1500000000,1500000000
12594892330,1647069102,215887,14094892330,163754,15953805712,1500000000,1500000000
38031811689,1647474867,212374,39441811689,155505,41765146779,1410000000,1410000000
20068847192,1647424809,215887,21568847192,163754,22666036598,1500000000,1500000000
20068847192,1647424809,280965,21568847192,227929,22666036598,1500000000,1500000000
39355204691,1647397675,284875,40131238658,231828,40131238658,1500000000,776033967
29320125902,1647402969,282590,30820125902,229563,45105136540,1500000000,1500000000
22058601140,1647095882,284897,23558601140,231850,26548219150,1500000000,1500000000
23598696029,1647098769,284882,25098696029,231835,26820748474,1500000000,1500000000
17023613176,1647111344,212398,18023613176,155529,19923734690,1000000000,1000000000
37690151574,1647435475,215887,39190151574,163754,43381559812,1500000000,1500000000
37690151574,1647435475,215887,39190151574,163754,45079093348,1500000000,1500000000
19067100740,1647439872,312763,20567100740,259280,28760752745,1500000000,1500000000
40470146493,1647460530,268264,41970146493,215444,51571155984,1500000000,1500000000
17783401977,1647421962,280989,19283401977,227953,26163115808,1500000000,1500000000
18587955402,1647091241,215887,20087955402,163754,20338006303,1500000000,1500000000
31877966208,1647392496,215887,33377966208,163754,40204656740,1500000000,1500000000
10996445749,1647072347,215887,12352509826,163754,14008872714,1356064077,1356064077
22280490179,1647091231,215887,23780490179,163754,30053213567,1500000000,1500000000
27359493880,1647441916,257463,28021873537,204778,28021873537,1500000000,662379657
26965588601,1647463670,284873,28465588601,231826,30000000000,1500000000,1500000000
49348603930,1647440721,265748,51348603930,212949,56000000000,2000000000,2000000000
25553009213,1647412804,284897,27053009213,231850,30974757315,1500000000,1500000000
14503728745,1647120075,257417,15503728745,204732,15773903074,1000000000,1000000000
51302216060,1647464343,212386,52302216060,155517,56309293743,1000000000,1000000000
18411076017,1647421583,38919,19411076017,25946,21322269762,1000000000,1000000000
43000115842,1647466710,215887,44500115842,163754,54550183760,1500000000,1500000000
43000115842,1647466710,212362,44500115842,155492,54550183760,1500000000,1500000000
21084065187,1647405682,189000,21880826539,186638,21880826539,1000000000,796761352
21084065187,1647405682,284944,21961500000,231896,21961500000,2064381000,877434813
53262453318,1647456798,190000,55262453318,187655,66000000000,2000000000,2000000000
24556181753,1647053124,215887,26056181753,163754,26778979538,1500000000,1500000000
12632613733,1647069992,276495,14132613733,223562,16057272377,1500000000,1500000000
12632613733,1647069992,215887,14132613733,163754,14440934650,1500000000,1500000000
34403892638,1647121007,259907,35903892638,207201,39864726595,1500000000,1500000000
15642590227,1647051825,212386,17142590227,155517,21704911160,1500000000,1500000000
69384906739,1647447452,276529,70884906739,223596,92933496708,1500000000,1500000000
22462013841,1647081025,215887,23962013841,163754,25836165102,1500000000,1500000000
16282611837,1647044471,290960,17782611837,237819,24401023519,1500000000,1500000000
13751267979,1647081364,215887,15156421369,163754,15156421369,1500000000,1405153390
23660189490,1647104504,215887,25160189490,163754,29644872659,1500000000,1500000000
17594122806,1647088320,212350,18925778834,155480,18925778834,1500000000,1331656028
12154739228,1647056012,257445,12379192094,204759,,,
12154739228,1647056012,215887,12484420056,163754,12484420056,1410000000,329680828
12154739228,1647056012,285543,12500000000,204790,,,
12154739228,1647056012,257481,12700000000,204795,12700000000,1408878202,545260772
