base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
,1618135404,21000,77001100000,21000,,,
96043670970,1637931967,21000,97761139021,21000,119440409091,1717468051,1717468051
96163367119,1637935398,21000,97663367119,21000,120981787113,1500000000,1500000000
55593940866,1632693268,21000,61000000000,21000,61000000000,61000000000,5406059134
160275144158,1641902252,21000,161775144158,21000,168935037365,1500000000,1500000000
149516870122,1636653291,21000,151016870122,21000,225934248100,1500000000,1500000000
,1622855340,21000,20000000000,21000,,,
,1623207888,21000,17000000000,21000,,,
83584978429,1637909432,21000,85524978429,21000,106778700304,1940000000,1940000000
146838336813,1641887762,21000,148338336813,21000,180789010403,1500000000,1500000000
,1620145882,21000,90000000000,21000,,,
,1621480494,21000,133000000000,21000,,,
132772440382,1636615374,21000,134772440382,21000,143110834618,2000000000,2000000000
81813661693,1637901986,21000,83000000000,21000,83000000000,83000000000,1186338307
77856938230,1637966670,21000,79356938230,21000,93947329398,1500000000,1500000000
,1618140012,21000,71000000000,21000,,,
,1621470250,21000,161000000000,21000,,,
110448754347,1637942013,21000,114000000000,21000,,,
167296567300,1641944775,21000,168796567300,21000,252510960307,1500000000,1500000000
261117508001,1643644652,21000,262617508001,21000,291006031690,1500000000,1500000000
,1620091795,21000,70026605487,21000,,,
85693019973,1637894783,21000,87193019973,21000,102476600238,1500000000,1500000000
76120244549,1634072930,21000,77620244549,21000,110700772629,1500000000,1500000000
,1622910997,21000,13000000000,21000,,,
,1620093354,21000,59000000000,21000,,,
,1618177171,21000,63100000000,21000,,,
,1618151126,21000,92000000000,21000,,,
121282059134,1637955796,21000,122782059134,21000,140669986088,1500000000,1500000000
156468042474,1637915139,21000,157968042474,21000,170576473146,1500000000,1500000000
28659213121,1629410408,21000,33659213121,21000,67300803607,5000000000,5000000000
84575895158,1643593607,21000,86075895158,21000,130139821368,1500000000,1500000000
42666872655,1630126270,21000,55000000000,21000,55000000000,55000000000,12333127345
80754369318,1637938993,21000,86000000000,21000,,,
,1625387872,21000,17000000000,21000,,,
137445809604,1641896701,21000,175000000000,21000,175000000000,175000000000,37554190396
107800283104,1643589775,31500,116000000000,21000,,,
133935991750,1636603455,21000,139000000000,21000,139000000000,139000000000,5064008250
63432447699,1631342340,21000,64932447699,21000,91454010720,1500000000,1500000000
,1620164157,21000,69000000000,21000,,,
42453350810,1629403753,21000,44000000000,21000,44000000000,44000000000,1546649190
57340383805,1632206089,21000,58840383805,21000,84994276580,1500000000,1500000000
,1620094116,21000,100000000000,21000,,,
,1618151476,21000,73000000000,21000,,,
,1621474842,21000,450000000000,21000,,,
111357546816,1637938404,21000,112857546816,21000,123101917456,1500000000,1500000000
157774060794,1643655586,21000,159274060794,21000,224437731914,1500000000,1500000000
151029534543,1636606175,21000,153029534543,21000,158214277557,2000000000,2000000000
48804832467,1631334706,21000,60000000000,21000,60000000000,60000000000,11195167533
