base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
191399413659,1641663414,52916,192899413659,48116,219183033852,1500000000,1500000000
178189501298,1642171975,60862,179689501298,56062,219120762753,1500000000,1500000000
30718167704,1648215851,54332,32218167704,49532,44563680878,1500000000,1500000000
31950346989,1649914825,55592,33684089556,50792,,,
84443094613,1641638468,60850,85943094613,60850,108063080713,1500000000,1500000000
170420066488,1642177981,67634,171920066488,62834,203051793838,1500000000,1500000000
51599386913,1648237509,67634,53099386913,62834,68347809597,1500000000,1500000000
72118613635,1641637575,55705,73618613635,50905,88339605452,1500000000,1500000000
49493636811,1649949262,59946,50993636811,55146,71161873074,1500000000,1500000000
119307285152,1643995736,60850,120807285152,56050,123608123538,1500000000,1500000000
119307285152,1643995736,67634,120807285152,62834,123608123538,1500000000,1500000000
81777299154,1641650716,60850,83277299154,56050,108977353864,1500000000,1500000000
75193611850,1641626409,67634,76693611850,67634,104640154969,1500000000,1500000000
21623878111,1648194367,319745,23123878111,319745,27441416467,1500000000,1500000000
27428476605,1649925147,55592,28928476605,50792,35633970325,1500000000,1500000000
125461899719,1642145345,60838,127461899719,60838,201236781063,2000000000,2000000000
158133613647,1642181497,60850,159633613647,56050,204997466023,1500000000,1500000000
81972841047,1641610682,60850,83472841047,56050,92587908458,1500000000,1500000000
145156529609,1642182572,55648,147656529609,55648,318395048402,2500000000,2500000000
155860712258,1642171811,67646,157360712258,62846,171280998224,1500000000,1500000000
23427640353,1648170416,328252,25000000000,328252,25000000000,1881800000,1572359647
144349707114,1642146047,67646,145849707114,62846,155000000000,1500000000,1500000000
31271520786,1649898984,64741,32771520786,59941,42670779692,1500000000,1500000000
168935195599,1642183781,67634,170435195599,62834,188463129013,1500000000,1500000000
54159961316,1649967450,49571,55659961316,44771,66346708079,1500000000,1500000000
98482811416,1641604151,60850,99982811416,56050,123351261007,1500000000,1500000000
280106349423,1642176524,55717,282046349423,50917,377267720017,1940000000,1940000000
37215305801,1648218351,55681,38715305801,55681,48608273794,1500000000,1500000000
67229081123,1641650146,60850,68729081123,56050,73305305220,1500000000,1500000000
111556570802,1641618639,54848,113056570802,50048,129123478107,1500000000,1500000000
115804570269,1642168271,64741,117304570269,59941,167094856684,1500000000,1500000000
74877704409,1643941393,321883,76377704409,321883,88000000000,1500000000,1500000000
55843724508,1641635551,64729,57843724508,59929,82677614605,2000000000,2000000000
137733718784,1641659190,316566,139733718784,316566,212356035363,2000000000,2000000000
207840162122,1642203381,55592,209340162122,50792,249385508993,1500000000,1500000000
159474985852,1642186906,56504,160974985852,51704,178699145023,1500000000,1500000000
52646852061,1643973670,59934,54146852061,59934,60000133907,1500000000,1500000000
105083912705,1641656032,66754,106583912705,61954,113719174750,1500000000,1500000000
180426429107,1641678082,55693,181926429107,50893,207349096862,1500000000,1500000000
25110809417,1649938968,60874,26610809417,56074,30223030983,1500000000,1500000000
62427357644,1649900518,55668,63927357644,50868,74704899898,1500000000,1500000000
117982452239,1643986249,64729,119482452239,59929,149089347329,1500000000,1500000000
87562621299,1641623855,60862,89062621299,56062,117254054817,1500000000,1500000000
105929490382,1641661304,60862,107429490382,56062,119651295552,1500000000,1500000000
130700531091,1642147179,54739,132200531091,49939,153060545279,1500000000,1500000000
125276952738,1642137141,54848,126776952738,50048,171120274382,1500000000,1500000000
53202319769,1649951545,67634,54702319769,62834,59654624610,1500000000,1500000000
51067906369,1644928598,60850,52567906369,56050,54374871118,1500000000,1500000000
48099071370,1644901694,340073,49599071370,340073,57069406933,1500000000,1500000000
87085483289,1641606687,328680,88585483289,328680,155108857212,1500000000,1500000000
137311824419,1649963206,343779,138811824419,343779,184603172858,1500000000,1500000000
25075004288,1649932286,60862,26575004288,56062,31629224635,1500000000,1500000000
186910870241,1642178042,67634,188410870241,67634,229607970274,1500000000,1500000000
144427107413,1642148847,59934,145927107413,55134,149000000000,1500000000,1500000000
97054601602,1643937030,55648,99554601602,55648,227445470640,2500000000,2500000000
56600782215,1643967816,334350,58100782215,334350,69563188618,1500000000,1500000000
134123180479,1642179585,60838,135623180479,60838,178427626444,1500000000,1500000000
57648714485,1649946030,60926,59148714485,60926,66942662978,1500000000,1500000000
30027948566,1649913743,60850,31527948566,60850,36732551788,1500000000,1500000000
33354252151,1649923599,67710,34854252151,67710,42072536773,1500000000,1500000000
33354252151,1649923599,67634,34854252151,62834,36707725188,1500000000,1500000000
107982890067,1643989164,54861,110482890067,54861,215159354268,2500000000,2500000000
144912095300,1642185627,59934,146412095300,59934,174147563967,1500000000,1500000000
144912095300,1642185627,66742,146412095300,61942,182118947568,1500000000,1500000000
23187857969,1648203954,67634,25187857969,62834,35411003395,2000000000,2000000000
34978509116,1649912495,67634,36478509116,67634,48996057605,1500000000,1500000000
60001319390,1649968091,67646,61501319390,62846,80261962630,1500000000,1500000000
60001319390,1649968091,67646,61501319390,67646,78490315447,1500000000,1500000000
78595184675,1649956575,329218,80095184675,329218,82258860170,1500000000,1500000000
157661918299,1642193322,60862,205000000000,56062,,,
162639453361,1642130682,60850,164139453361,56050,187975186233,1500000000,1500000000
38005105514,1648240923,336863,39330505514,336863,39980110544,1325400000,1325400000
77899720791,1643945109,340021,79399720791,340021,104969257272,1500000000,1500000000
170543504545,1641664776,316604,172043504545,316604,243860501615,1500000000,1500000000
266763452845,1642124643,67646,268263452845,62846,279428491538,1500000000,1500000000
28902623818,1649908390,63200,30402623818,63200,59257684780,1500000000,1500000000
